host,duration,status
hdc49-mcc10-01-0710-2603-023-tess0035.stratus.rno.ebay.com,28850,RUNNING
hdc49-mcc10-01-0710-4102-030-tess0035.stratus.rno.ebay.com,28819,RUNNING
hdc49-mcc10-01-0710-1903-033-tess0035.stratus.rno.ebay.com,28057,RUNNING
hdc49-mcc10-01-0710-1903-022-tess0035.stratus.rno.ebay.com,27102,RUNNING
hdc49-mcc10-01-0710-4102-025-tess0035.stratus.rno.ebay.com,27079,RUNNING
hdc49-mcc10-01-0710-2509-008-tess0035.stratus.rno.ebay.com,26406,RUNNING
hdc49-mcc10-01-0710-4105-003-tess0035.stratus.rno.ebay.com,24702,RUNNING
hdc49-mcc10-01-0710-3908-008-tess0035.stratus.rno.ebay.com,24137,RUNNING
hdc49-mcc10-01-0910-2703-021-tess0028.stratus.rno.ebay.com,23541,RUNNING
