CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
0,0,0,0,0,1,215,108926,ACTIVE,2020-07-30T05:20:14.472GMT
1,0,0,0,0,0,435,108033,ACTIVE,2020-07-30T04:54:45.736GMT
