host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0910-2703-036-tess0028.stratus.rno.ebay.com,123,SUCCESS,26345.103448275862
hdc49-mcc10-01-0710-3602-038-tess0035.stratus.rno.ebay.com,204,SUCCESS,16098.18085106383
hdc49-mcc10-01-0710-2202-034-tess0035.stratus.rno.ebay.com,168,SUCCESS,15376.485148514852
hdc49-mcc10-01-0710-1804-006-tess0035.stratus.rno.ebay.com,164,SUCCESS,15327.080808080807
hdc49-mcc10-01-0910-2703-023-tess0028.stratus.rno.ebay.com,169,SUCCESS,14645.084905660377
hdc49-mcc10-01-0710-3708-028-tess0035.stratus.rno.ebay.com,180,SUCCESS,14545.121495327103
hdc49-mcc10-01-0710-4205-028-tess0035.stratus.rno.ebay.com,195,SUCCESS,14272.242990654206
hdc49-mcc10-01-0710-3509-031-tess0035.stratus.rno.ebay.com,181,SUCCESS,13751.433628318584
hdc49-mcc10-01-0910-1901-013-tess0028.stratus.rno.ebay.com,181,SUCCESS,13593.964285714286
hdc49-mcc10-01-0710-3804-027-tess0035.stratus.rno.ebay.com,187,SUCCESS,13281.153846153846
hdc49-mcc10-01-0710-3708-009-tess0035.stratus.rno.ebay.com,187,SUCCESS,12771.70588235294
hdc49-mcc10-01-0710-3302-005-tess0035.stratus.rno.ebay.com,203,SUCCESS,12481.387096774193
hdc49-mcc10-01-0710-3708-022-tess0035.stratus.rno.ebay.com,203,SUCCESS,12455.569105691056
hdc49-mcc10-01-0710-2605-032-tess0035.stratus.rno.ebay.com,195,SUCCESS,12246.173228346457
hdc49-mcc10-01-0710-1903-036-tess0035.stratus.rno.ebay.com,194,SUCCESS,12140.544
hdc49-mcc10-01-0910-1803-027-tess0028.stratus.rno.ebay.com,212,SUCCESS,10623.384615384615
hdc49-mcc10-01-0710-4105-006-tess0035.stratus.rno.ebay.com,211,SUCCESS,10613.027777777777
hdc49-mcc10-01-0910-1710-015-tess0028.stratus.rno.ebay.com,224,SUCCESS,9939.052287581699
hdc49-mcc10-01-0710-4102-004-tess0035.stratus.rno.ebay.com,241,SUCCESS,9142.976470588235
hdc49-mcc10-01-0710-3708-003-tess0035.stratus.rno.ebay.com,317,SUCCESS,6053.183266932271
