Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-2510-008-tess0035.stratus.rno.ebay.com,10006
hdc49-mcc10-01-0710-1903-040-tess0035.stratus.rno.ebay.com,9946
hdc49-mcc10-01-0710-4105-039-tess0035.stratus.rno.ebay.com,9823
hdc49-mcc10-01-0710-2604-006-tess0035.stratus.rno.ebay.com,9795
hdc49-mcc10-01-0710-2104-018-tess0035.stratus.rno.ebay.com,9648
hdc49-mcc10-01-0710-2104-024-tess0035.stratus.rno.ebay.com,8816
hdc49-mcc10-01-0710-2202-028-tess0035.stratus.rno.ebay.com,8605
hdc49-mcc10-01-0710-3302-021-tess0035.stratus.rno.ebay.com,7664
hdc49-mcc10-01-0710-1804-036-tess0035.stratus.rno.ebay.com,7270
hdc49-mcc10-01-0710-2509-016-tess0035.stratus.rno.ebay.com,7216
hdc49-mcc10-01-0910-2703-023-tess0028.stratus.rno.ebay.com,7210
hdc49-mcc10-01-0710-2509-009-tess0035.stratus.rno.ebay.com,7190
hdc49-mcc10-01-0710-3509-006-tess0035.stratus.rno.ebay.com,7086
hdc49-mcc10-01-0910-1710-030-tess0028.stratus.rno.ebay.com,6912
hdc49-mcc10-01-0710-2202-004-tess0035.stratus.rno.ebay.com,6905
hdc49-mcc10-01-0710-1902-029-tess0035.stratus.rno.ebay.com,6883
hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,6632
hdc49-mcc10-01-0710-2603-006-tess0035.stratus.rno.ebay.com,6525
hdc49-mcc10-01-0710-1903-039-tess0035.stratus.rno.ebay.com,6472
hdc49-mcc10-01-0710-3908-034-tess0035.stratus.rno.ebay.com,3992
hdc49-mcc10-01-0910-1701-002-tess0028.stratus.rno.ebay.com,3415
hdc49-mcc10-01-0910-1803-021-tess0028.stratus.rno.ebay.com,3413
hdc49-mcc10-01-0910-1803-038-tess0028.stratus.rno.ebay.com,3377
hdc49-mcc10-01-0710-2003-021-tess0035.stratus.rno.ebay.com,2987
hdc49-mcc10-01-0710-2003-005-tess0035.stratus.rno.ebay.com,2929
hdc49-mcc10-01-0910-1710-010-tess0028.stratus.rno.ebay.com,2791
hdc49-mcc10-01-0710-1804-016-tess0035.stratus.rno.ebay.com,2690
hdc49-mcc10-01-0710-2509-006-tess0035.stratus.rno.ebay.com,2629
hdc49-mcc10-01-0710-2104-037-tess0035.stratus.rno.ebay.com,2622
hdc49-mcc10-01-0710-1902-039-tess0035.stratus.rno.ebay.com,2601
hdc49-mcc10-01-0710-3709-038-tess0035.stratus.rno.ebay.com,2577
hdc49-mcc10-01-0710-1902-024-tess0035.stratus.rno.ebay.com,2506
hdc49-mcc10-01-0710-4102-030-tess0035.stratus.rno.ebay.com,2499
hdc49-mcc10-01-0910-1701-019-tess0028.stratus.rno.ebay.com,2465
hdc49-mcc10-01-0710-2510-038-tess0035.stratus.rno.ebay.com,2438
hdc49-mcc10-01-0710-3509-027-tess0035.stratus.rno.ebay.com,2401
hdc49-mcc10-01-0710-2102-028-tess0035.stratus.rno.ebay.com,2385
hdc49-mcc10-01-0710-4102-035-tess0035.stratus.rno.ebay.com,2374
hdc49-mcc10-01-0710-2102-004-tess0035.stratus.rno.ebay.com,2345
hdc49-mcc10-01-0910-2703-033-tess0028.stratus.rno.ebay.com,2298
hdc49-mcc10-01-0710-4102-006-tess0035.stratus.rno.ebay.com,2290
hdc49-mcc10-01-0710-1902-018-tess0035.stratus.rno.ebay.com,2255
hdc49-mcc10-01-0710-4105-010-tess0035.stratus.rno.ebay.com,2221
hdc49-mcc10-01-0710-3908-014-tess0035.stratus.rno.ebay.com,2177
hdc49-mcc10-01-0710-2509-021-tess0035.stratus.rno.ebay.com,2167
hdc49-mcc10-01-0710-1903-033-tess0035.stratus.rno.ebay.com,2164
hdc49-mcc10-01-0710-1804-011-tess0035.stratus.rno.ebay.com,2152
hdc49-mcc10-01-0710-3503-015-tess0035.stratus.rno.ebay.com,2138
hdc49-mcc10-01-0710-2603-005-tess0035.stratus.rno.ebay.com,2137
hdc49-mcc10-01-0710-3908-027-tess0035.stratus.rno.ebay.com,2130
hdc49-mcc10-01-0710-2510-013-tess0035.stratus.rno.ebay.com,2116
hdc49-mcc10-01-0710-3409-024-tess0035.stratus.rno.ebay.com,2110
hdc49-mcc10-01-0710-3708-002-tess0035.stratus.rno.ebay.com,2105
hdc49-mcc10-01-0710-2510-014-tess0035.stratus.rno.ebay.com,2105
hdc49-mcc10-01-0710-3804-008-tess0035.stratus.rno.ebay.com,2103
hdc49-mcc10-01-0910-2703-036-tess0028.stratus.rno.ebay.com,2096
hdc49-mcc10-01-0710-2202-003-tess0035.stratus.rno.ebay.com,2095
hdc49-mcc10-01-0710-4105-025-tess0035.stratus.rno.ebay.com,2085
hdc49-mcc10-01-0710-2509-002-tess0035.stratus.rno.ebay.com,2053
hdc49-mcc10-01-0710-3709-019-tess0035.stratus.rno.ebay.com,2040
hdc49-mcc10-01-0910-1701-004-tess0028.stratus.rno.ebay.com,2022
hdc49-mcc10-01-0710-1903-035-tess0035.stratus.rno.ebay.com,2012
hdc49-mcc10-01-0710-3306-030-tess0035.stratus.rno.ebay.com,1991
hdc49-mcc10-01-0910-1901-015-tess0028.stratus.rno.ebay.com,1930
hdc49-mcc10-01-0710-2604-027-tess0035.stratus.rno.ebay.com,1925
hdc49-mcc10-01-0710-3908-021-tess0035.stratus.rno.ebay.com,1918
hdc49-mcc10-01-0710-2202-037-tess0035.stratus.rno.ebay.com,1861
hdc49-mcc10-01-0710-3908-019-tess0035.stratus.rno.ebay.com,1849
hdc49-mcc10-01-0710-2603-033-tess0035.stratus.rno.ebay.com,1843
hdc49-mcc10-01-0710-4102-017-tess0035.stratus.rno.ebay.com,1838
hdc49-mcc10-01-0710-3409-007-tess0035.stratus.rno.ebay.com,1809
hdc49-mcc10-01-0710-4105-007-tess0035.stratus.rno.ebay.com,1796
