host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-4205-019-tess0035.stratus.rno.ebay.com,3472,SUCCESS,6020.669387755102
hdc49-mcc10-01-0710-2605-002-tess0035.stratus.rno.ebay.com,4250,SUCCESS,4937.126840855107
hdc49-mcc10-01-0710-3708-015-tess0035.stratus.rno.ebay.com,4292,SUCCESS,4870.265003530242
hdc49-mcc10-01-0710-2510-029-tess0035.stratus.rno.ebay.com,4372,SUCCESS,4752.7227997228
hdc49-mcc10-01-0710-3409-033-tess0035.stratus.rno.ebay.com,4508,SUCCESS,4605.8072963294535
hdc49-mcc10-01-0710-3908-024-tess0035.stratus.rno.ebay.com,4676,SUCCESS,4459.687526974536
hdc49-mcc10-01-0710-3709-010-tess0035.stratus.rno.ebay.com,4698,SUCCESS,4426.832366215345
hdc49-mcc10-01-0710-2202-007-tess0035.stratus.rno.ebay.com,4723,SUCCESS,4415.308612951485
hdc49-mcc10-01-0910-1803-022-tess0028.stratus.rno.ebay.com,5017,SUCCESS,4157.850794289161
hdc49-mcc10-01-0710-3302-004-tess0035.stratus.rno.ebay.com,5340,SUCCESS,3897.8841509433964
hdc49-mcc10-01-0710-3509-029-tess0035.stratus.rno.ebay.com,5518,SUCCESS,3753.374269005848
hdc49-mcc10-01-0710-3509-040-tess0035.stratus.rno.ebay.com,5832,SUCCESS,3547.4536349507857
hdc49-mcc10-01-0710-3409-034-tess0035.stratus.rno.ebay.com,6096,SUCCESS,3374.3930931923333
hdc49-mcc10-01-0710-2104-007-tess0035.stratus.rno.ebay.com,6235,SUCCESS,3340.761789405685
hdc49-mcc10-01-0710-3709-022-tess0035.stratus.rno.ebay.com,6183,SUCCESS,3334.291137178234
hdc49-mcc10-01-0710-3709-018-tess0035.stratus.rno.ebay.com,6853,SUCCESS,3023.7907488986784
hdc49-mcc10-01-0710-2510-020-tess0035.stratus.rno.ebay.com,7856,SUCCESS,2647.3006402048654
hdc49-mcc10-01-0710-3709-023-tess0035.stratus.rno.ebay.com,12183,SUCCESS,1703.0419206061604
hdc49-mcc10-01-0710-3709-026-tess0035.stratus.rno.ebay.com,14644,SUCCESS,1417.1960273972602
hdc49-mcc10-01-0710-2510-025-tess0035.stratus.rno.ebay.com,15435,SUCCESS,1347.4230494380563
