host,duration,status,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleReadMetrics.fetchWaitTime
hdc49-mcc10-01-0710-4102-032-tess0035.stratus.rno.ebay.com,109624,FAILED,0,81876
hdc49-mcc10-01-0710-3709-034-tess0035.stratus.rno.ebay.com,109212,SUCCESS,23646849,106050
hdc49-mcc10-01-0910-1901-017-tess0028.stratus.rno.ebay.com,109183,SUCCESS,30099483,105923
hdc49-mcc10-01-0710-3306-018-tess0035.stratus.rno.ebay.com,109119,SUCCESS,31611541,105823
hdc49-mcc10-01-0710-3804-008-tess0035.stratus.rno.ebay.com,109082,SUCCESS,36848597,105423
hdc49-mcc10-01-0710-4102-013-tess0035.stratus.rno.ebay.com,109073,SUCCESS,33890211,105762
hdc49-mcc10-01-0710-2605-001-tess0035.stratus.rno.ebay.com,109038,SUCCESS,50022535,105501
