Hosts,CpuTime(ms)
hdc49-mcc10-01-0910-1901-034-tess0028.stratus.rno.ebay.com,358145
hdc49-mcc10-01-0710-3409-011-tess0035.stratus.rno.ebay.com,353293
hdc49-mcc10-01-0910-1803-003-tess0028.stratus.rno.ebay.com,350130
hdc49-mcc10-01-0910-1803-014-tess0028.stratus.rno.ebay.com,349324
hdc49-mcc10-01-0710-1902-038-tess0035.stratus.rno.ebay.com,341025
hdc49-mcc10-01-0710-3709-024-tess0035.stratus.rno.ebay.com,335626
hdc49-mcc10-01-0710-3709-036-tess0035.stratus.rno.ebay.com,331869
hdc49-mcc10-01-0710-2104-031-tess0035.stratus.rno.ebay.com,330159
hdc49-mcc10-01-0910-1710-001-tess0028.stratus.rno.ebay.com,329320
hdc49-mcc10-01-0710-1903-032-tess0035.stratus.rno.ebay.com,326800
hdc49-mcc10-01-0710-2603-003-tess0035.stratus.rno.ebay.com,315366
hdc49-mcc10-01-0710-3302-016-tess0035.stratus.rno.ebay.com,312917
hdc49-mcc10-01-0710-2102-039-tess0035.stratus.rno.ebay.com,305272
hdc49-mcc10-01-0710-3302-029-tess0035.stratus.rno.ebay.com,301107
hdc49-mcc10-01-0710-3709-004-tess0035.stratus.rno.ebay.com,297586
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,297578
hdc49-mcc10-01-0710-4102-007-tess0035.stratus.rno.ebay.com,296003
hdc49-mcc10-01-0710-3503-034-tess0035.stratus.rno.ebay.com,291041
hdc49-mcc10-01-0710-2603-027-tess0035.stratus.rno.ebay.com,276490
hdc49-mcc10-01-0910-1701-012-tess0028.stratus.rno.ebay.com,266270
