CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
0,0,0,0,0,1,500,53032,ACTIVE,2020-07-30T05:49:02.328GMT
1,0,0,0,0,0,203,47676,ACTIVE,2020-07-30T02:18:16.148GMT
