Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-3709-015-tess0035.stratus.rno.ebay.com,56103
hdc49-mcc10-01-0710-3804-011-tess0035.stratus.rno.ebay.com,47710
hdc49-mcc10-01-0710-1804-015-tess0035.stratus.rno.ebay.com,44282
hdc49-mcc10-01-0710-3409-015-tess0035.stratus.rno.ebay.com,43786
hdc49-mcc10-01-0710-1902-026-tess0035.stratus.rno.ebay.com,43757
hdc49-mcc10-01-0910-1901-014-tess0028.stratus.rno.ebay.com,39065
hdc49-mcc10-01-0710-3908-002-tess0035.stratus.rno.ebay.com,38443
hdc49-mcc10-01-0710-3908-022-tess0035.stratus.rno.ebay.com,35142
hdc49-mcc10-01-0910-1901-009-tess0028.stratus.rno.ebay.com,33662
hdc49-mcc10-01-0710-2102-027-tess0035.stratus.rno.ebay.com,33266
hdc49-mcc10-01-0710-2202-020-tess0035.stratus.rno.ebay.com,27635
hdc49-mcc10-01-0710-2510-005-tess0035.stratus.rno.ebay.com,24720
hdc49-mcc10-01-0710-4102-021-tess0035.stratus.rno.ebay.com,18748
hdc49-mcc10-01-0710-2603-012-tess0035.stratus.rno.ebay.com,16291
