CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
1,0,0,0,0,0,1000,60503,ACTIVE,2020-07-30T08:17:22.195GMT
0,0,0,0,1,0,10000,60502,ACTIVE,2020-07-30T08:17:21.491GMT
0,0,0,0,0,1,200,60500,ACTIVE,2020-07-30T08:17:20.725GMT
0,0,0,0,0,1,22234,60479,ACTIVE,2020-07-30T08:17:16.566GMT
1,0,0,0,0,0,2000,60473,ACTIVE,2020-07-30T08:17:11.834GMT
0,1,0,0,0,0,749,60432,ACTIVE,2020-07-30T08:17:02.096GMT
0,1,0,0,0,0,200,60428,ACTIVE,2020-07-30T08:17:01.936GMT
1,0,0,0,0,0,5000,60421,ACTIVE,2020-07-30T08:16:49.707GMT
0,1,0,0,0,0,5000,60223,ACTIVE,2020-07-30T08:15:16.264GMT
1,0,0,0,0,0,2471,60206,ACTIVE,2020-07-30T08:15:09.538GMT
0,0,0,1,0,0,500,60123,ACTIVE,2020-07-30T08:14:36.609GMT
0,1,0,0,0,0,12000,59984,ACTIVE,2020-07-30T08:14:02.220GMT
1,0,0,0,0,0,10000,59707,ACTIVE,2020-07-30T08:12:56.363GMT
1,0,0,0,0,0,4,59700,ACTIVE,2020-07-30T08:12:42.060GMT
1,0,0,0,0,0,6000,59628,ACTIVE,2020-07-30T08:12:13.817GMT
1,0,0,0,0,0,10000,52067,ACTIVE,2020-07-30T07:27:28.406GMT
