diskBytesSpilled,executorBlockTime,executorCpuTime,executorDeserializeCpuTime,executorDeserializeTime,executorRunTime,executorWaitTime,gettingResultTime,inputMetrics.bytesRead,inputMetrics.recordsRead,jvmGcTime,launchDelay,memoryBytesSpilled,outputMetrics.bytesWritten,outputMetrics.recordsWritten,peakExecutionMemory,resultSerializationTime,resultSize,schedulerDelay,shuffleReadMetrics.fetchWaitTime,shuffleReadMetrics.localBlocksFetched,shuffleReadMetrics.readBytes,shuffleReadMetrics.readRecords,shuffleReadMetrics.remoteBlocksFetched,shuffleReadMetrics.remoteBytesRead,shuffleReadMetrics.remoteBytesReadToDisk,shuffleReadMetrics.totalBlocksFetched,shuffleWriteMetrics.writeBytes,shuffleWriteMetrics.writeRecords,shuffleWriteMetrics.writeTime,stageId
1,1,44,52,105,40,1,1,0,0,1,1,1,1,1,1,1,1,31,1,1,1,1,1,1,1,1,35,43,23,60503
1,1,104,34,86,176,1,1,1,1,1,1,1,1,1,1,1,1,77,1,1,1,1,1,1,1,1,1,1,1,60502
1,1,1,1,1,1,1,1,144,140,152,1,1,1,1,1,1,1,136,1,1,1,1,1,1,1,1,1,1,1,60500
1,1,212,106,102,98,1,1,185,184,95,1,1,1,1,223,1,92,121,1,1,1,1,1,1,1,1,1,1,1,60479
1,1,11,32,7,12,1,1,1,1,85,1,1,0,0,1,1,0,44,1,1,0,0,1,0,1,1,1,1,1,60473
1,1,53,44,30,111,1,1,61,61,139,1,1,1,1,56,1,1,92,1,1,1,1,1,1,1,1,49,61,43,60432
1,1,49,43,46,127,1,1,40,40,179,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,60428
1,1,28,48,47,27,1,1,1,1,87,1,1,1,1,1,1,1,45,48,1,5,6,1,5,1,1,2,7,27,60421
1,1,26,52,210,77,1,1,0,0,71,1,1,1,1,1,1,0,202,163,1,0,0,0,0,1,1,0,0,53,60223
1,1,48,64,128,49,1,1,45,43,55,1,1,1,1,42,1,88,91,1,1,1,1,1,1,1,1,43,43,63,60206
1,1,1,1,1,1,1,1,18,18,23,1,1,1,1,17,1,1,3,1,1,1,1,1,1,1,1,1,1,1,60123
1,1,24,69,216,87,1,1,0,0,97,1,1,1,1,1,1,3,212,1,1,1,1,1,1,1,1,4,4,37,59984
0,1,23,42,146,31,1,1,1,1,55,1,1,1,1,1,1,0,186,212,56,0,0,0,0,1,1,0,0,35,59707
70,1,89,58,57,89,1,1,1,1,55,1,69,1,1,1,1,56,137,131,1,78,77,1,78,1,1,1,1,1,59700
1,1,26,33,138,34,1,1,2,2,39,1,1,10,10,1,1,1,182,1,1,1,1,1,1,1,1,1,1,1,59628
1,1,48,40,88,50,1,1,0,0,85,1,1,1,1,1,1,2,197,1,1,11,22,1,11,1,1,5,6,34,52067
