host,duration,status,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleWriteMetrics.writeTime
hdc49-mcc10-01-0910-1901-013-tess0028.stratus.rno.ebay.com,899819,SUCCESS,499499,18425487,114692738
hdc49-mcc10-01-0710-4102-002-tess0035.stratus.rno.ebay.com,892891,SUCCESS,878287,11624501,20908509
hdc49-mcc10-01-0710-2003-024-tess0035.stratus.rno.ebay.com,879345,SUCCESS,820281,17421609,33999516
hdc49-mcc10-01-0910-1803-035-tess0028.stratus.rno.ebay.com,716734,SUCCESS,695730,14081014,31401559
hdc49-mcc10-01-0710-2102-006-tess0035.stratus.rno.ebay.com,694828,SUCCESS,686305,9166191,33988889
hdc49-mcc10-01-0710-2104-008-tess0035.stratus.rno.ebay.com,644312,SUCCESS,635428,17388344,29063188
