Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-4102-021-tess0035.stratus.rno.ebay.com,17018
hdc49-mcc10-01-0710-4102-035-tess0035.stratus.rno.ebay.com,13754
hdc49-mcc10-01-0710-3306-016-tess0035.stratus.rno.ebay.com,12397
hdc49-mcc10-01-0710-2102-032-tess0035.stratus.rno.ebay.com,12346
hdc49-mcc10-01-0710-3503-032-tess0035.stratus.rno.ebay.com,11595
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,11180
hdc49-mcc10-01-0710-3503-011-tess0035.stratus.rno.ebay.com,11056
hdc49-mcc10-01-0710-2603-010-tess0035.stratus.rno.ebay.com,10955
hdc49-mcc10-01-0710-2510-012-tess0035.stratus.rno.ebay.com,10662
hdc49-mcc10-01-0710-2509-025-tess0035.stratus.rno.ebay.com,10590
hdc49-mcc10-01-0710-1903-036-tess0035.stratus.rno.ebay.com,10187
hdc49-mcc10-01-0710-2509-005-tess0035.stratus.rno.ebay.com,10111
hdc49-mcc10-01-0710-4102-018-tess0035.stratus.rno.ebay.com,10077
hdc49-mcc10-01-0710-2603-005-tess0035.stratus.rno.ebay.com,9924
hdc49-mcc10-01-0710-2605-038-tess0035.stratus.rno.ebay.com,9916
hdc49-mcc10-01-0710-3302-026-tess0035.stratus.rno.ebay.com,9802
hdc49-mcc10-01-0710-3302-005-tess0035.stratus.rno.ebay.com,9742
hdc49-mcc10-01-0710-3602-027-tess0035.stratus.rno.ebay.com,9598
hdc49-mcc10-01-0710-3503-013-tess0035.stratus.rno.ebay.com,9530
hdc49-mcc10-01-0710-3602-012-tess0035.stratus.rno.ebay.com,9177
hdc49-mcc10-01-0710-2003-003-tess0035.stratus.rno.ebay.com,9162
hdc49-mcc10-01-0910-1803-038-tess0028.stratus.rno.ebay.com,9123
hdc49-mcc10-01-0710-3509-003-tess0035.stratus.rno.ebay.com,9020
hdc49-mcc10-01-0710-1903-011-tess0035.stratus.rno.ebay.com,9012
hdc49-mcc10-01-0710-3908-016-tess0035.stratus.rno.ebay.com,8967
hdc49-mcc10-01-0710-3804-013-tess0035.stratus.rno.ebay.com,8854
hdc49-mcc10-01-0710-3503-036-tess0035.stratus.rno.ebay.com,8795
hdc49-mcc10-01-0710-1903-040-tess0035.stratus.rno.ebay.com,8664
hdc49-mcc10-01-0910-1710-036-tess0028.stratus.rno.ebay.com,8552
hdc49-mcc10-01-0710-4102-020-tess0035.stratus.rno.ebay.com,8516
hdc49-mcc10-01-0910-2703-023-tess0028.stratus.rno.ebay.com,8514
hdc49-mcc10-01-0910-1803-013-tess0028.stratus.rno.ebay.com,8459
hdc49-mcc10-01-0910-2703-016-tess0028.stratus.rno.ebay.com,8258
hdc49-mcc10-01-0710-2003-025-tess0035.stratus.rno.ebay.com,8252
hdc49-mcc10-01-0710-2605-012-tess0035.stratus.rno.ebay.com,8193
hdc49-mcc10-01-0710-3602-020-tess0035.stratus.rno.ebay.com,8161
hdc49-mcc10-01-0710-2102-029-tess0035.stratus.rno.ebay.com,8138
hdc49-mcc10-01-0710-3908-017-tess0035.stratus.rno.ebay.com,8132
hdc49-mcc10-01-0710-3302-014-tess0035.stratus.rno.ebay.com,8023
hdc49-mcc10-01-0710-2603-029-tess0035.stratus.rno.ebay.com,8011
hdc49-mcc10-01-0710-2605-014-tess0035.stratus.rno.ebay.com,7978
hdc49-mcc10-01-0710-4102-001-tess0035.stratus.rno.ebay.com,7974
hdc49-mcc10-01-0710-3302-018-tess0035.stratus.rno.ebay.com,7807
hdc49-mcc10-01-0710-2603-031-tess0035.stratus.rno.ebay.com,7554
hdc49-mcc10-01-0710-2510-029-tess0035.stratus.rno.ebay.com,7527
hdc49-mcc10-01-0710-3908-004-tess0035.stratus.rno.ebay.com,7405
hdc49-mcc10-01-0710-1804-008-tess0035.stratus.rno.ebay.com,7335
hdc49-mcc10-01-0710-2509-032-tess0035.stratus.rno.ebay.com,7224
hdc49-mcc10-01-0710-3509-024-tess0035.stratus.rno.ebay.com,7075
hdc49-mcc10-01-0710-4102-012-tess0035.stratus.rno.ebay.com,7049
hdc49-mcc10-01-0710-2003-007-tess0035.stratus.rno.ebay.com,7040
hdc49-mcc10-01-0710-2603-026-tess0035.stratus.rno.ebay.com,6472
hdc49-mcc10-01-0710-2510-028-tess0035.stratus.rno.ebay.com,6182
hdc49-mcc10-01-0910-1701-024-tess0028.stratus.rno.ebay.com,5919
hdc49-mcc10-01-0910-1701-031-tess0028.stratus.rno.ebay.com,4529
hdc49-mcc10-01-0710-3908-025-tess0035.stratus.rno.ebay.com,3630
hdc49-mcc10-01-0910-1901-011-tess0028.stratus.rno.ebay.com,3525
hdc49-mcc10-01-0910-1701-035-tess0028.stratus.rno.ebay.com,3348
hdc49-mcc10-01-0710-3503-001-tess0035.stratus.rno.ebay.com,3315
hdc49-mcc10-01-0710-4105-009-tess0035.stratus.rno.ebay.com,3297
hdc49-mcc10-01-0710-3409-027-tess0035.stratus.rno.ebay.com,3183
hdc49-mcc10-01-0710-4102-030-tess0035.stratus.rno.ebay.com,3146
hdc49-mcc10-01-0710-3306-015-tess0035.stratus.rno.ebay.com,3134
hdc49-mcc10-01-0710-3503-040-tess0035.stratus.rno.ebay.com,3128
hdc49-mcc10-01-0710-2510-002-tess0035.stratus.rno.ebay.com,3076
hdc49-mcc10-01-0710-2003-010-tess0035.stratus.rno.ebay.com,2816
hdc49-mcc10-01-0910-1803-026-tess0028.stratus.rno.ebay.com,2706
hdc49-mcc10-01-0910-1901-001-tess0028.stratus.rno.ebay.com,2110
hdc49-mcc10-01-0710-2003-026-tess0035.stratus.rno.ebay.com,2069
hdc49-mcc10-01-0710-1902-009-tess0035.stratus.rno.ebay.com,1763
hdc49-mcc10-01-0710-3708-030-tess0035.stratus.rno.ebay.com,1647
hdc49-mcc10-01-0710-2202-013-tess0035.stratus.rno.ebay.com,1635
hdc49-mcc10-01-0710-2605-007-tess0035.stratus.rno.ebay.com,1621
hdc49-mcc10-01-0910-1710-008-tess0028.stratus.rno.ebay.com,1601
hdc49-mcc10-01-0710-4105-026-tess0035.stratus.rno.ebay.com,1571
hdc49-mcc10-01-0710-2509-008-tess0035.stratus.rno.ebay.com,1493
hdc49-mcc10-01-0710-3804-015-tess0035.stratus.rno.ebay.com,1453
hdc49-mcc10-01-0910-1710-029-tess0028.stratus.rno.ebay.com,1438
hdc49-mcc10-01-0710-3804-025-tess0035.stratus.rno.ebay.com,1438
hdc49-mcc10-01-0710-3908-001-tess0035.stratus.rno.ebay.com,1429
hdc49-mcc10-01-0710-2604-040-tess0035.stratus.rno.ebay.com,1429
hdc49-mcc10-01-0710-3804-004-tess0035.stratus.rno.ebay.com,1401
hdc49-mcc10-01-0710-2102-019-tess0035.stratus.rno.ebay.com,1397
hdc49-mcc10-01-0710-2003-033-tess0035.stratus.rno.ebay.com,1322
hdc49-mcc10-01-0710-2104-031-tess0035.stratus.rno.ebay.com,712
hdc49-mcc10-01-0710-3709-017-tess0035.stratus.rno.ebay.com,528
hdc49-mcc10-01-0710-2104-011-tess0035.stratus.rno.ebay.com,495
hdc49-mcc10-01-0710-4102-003-tess0035.stratus.rno.ebay.com,394
hdc49-mcc10-01-0710-3908-033-tess0035.stratus.rno.ebay.com,388
hdc49-mcc10-01-0710-3602-022-tess0035.stratus.rno.ebay.com,318
hdc49-mcc10-01-0710-2202-004-tess0035.stratus.rno.ebay.com,304
hdc49-mcc10-01-0710-4105-034-tess0035.stratus.rno.ebay.com,298
hdc49-mcc10-01-0710-1903-035-tess0035.stratus.rno.ebay.com,289
hdc49-mcc10-01-0710-1804-021-tess0035.stratus.rno.ebay.com,241
hdc49-mcc10-01-0710-3709-031-tess0035.stratus.rno.ebay.com,237
hdc49-mcc10-01-0910-2703-024-tess0028.stratus.rno.ebay.com,234
hdc49-mcc10-01-0710-2603-020-tess0035.stratus.rno.ebay.com,229
hdc49-mcc10-01-0710-4205-012-tess0035.stratus.rno.ebay.com,228
