host,duration,status,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleWriteMetrics.writeTime
hdc49-mcc10-01-0710-4102-035-tess0035.stratus.rno.ebay.com,695884,SUCCESS,687672,9640888,23411592
hdc49-mcc10-01-0710-2003-033-tess0035.stratus.rno.ebay.com,628156,SUCCESS,620815,9102952,20649184
hdc49-mcc10-01-0910-1803-030-tess0028.stratus.rno.ebay.com,464389,SUCCESS,457466,7054173,32225071
hdc49-mcc10-01-0710-2605-016-tess0035.stratus.rno.ebay.com,418880,SUCCESS,412511,6087745,20734000
hdc49-mcc10-01-0710-3709-028-tess0035.stratus.rno.ebay.com,415744,SUCCESS,408938,9394246,20458462
hdc49-mcc10-01-0710-3306-004-tess0035.stratus.rno.ebay.com,403783,SUCCESS,397659,9117985,20046866
