host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-1902-015-tess0035.stratus.rno.ebay.com,4614,SUCCESS,0.5889933820968304,2871,1691
hdc49-mcc10-01-0910-1710-021-tess0028.stratus.rno.ebay.com,4274,SUCCESS,0.5499603489294211,2522,1387
hdc49-mcc10-01-0710-2102-010-tess0035.stratus.rno.ebay.com,5361,SUCCESS,0.5316176470588235,4080,2169
hdc49-mcc10-01-0710-3709-010-tess0035.stratus.rno.ebay.com,3980,SUCCESS,0.5135473113797415,2399,1232
hdc49-mcc10-01-0710-2510-013-tess0035.stratus.rno.ebay.com,3368,SUCCESS,0.5004504504504504,2220,1111
hdc49-mcc10-01-0710-4205-033-tess0035.stratus.rno.ebay.com,5195,SUCCESS,0.4972512369433755,3638,1809
hdc49-mcc10-01-0710-4205-031-tess0035.stratus.rno.ebay.com,3358,SUCCESS,0.49663224068253253,2227,1106
hdc49-mcc10-01-0910-1710-005-tess0028.stratus.rno.ebay.com,3395,SUCCESS,0.47515257192676547,2294,1090
hdc49-mcc10-01-0710-2510-013-tess0035.stratus.rno.ebay.com,4179,SUCCESS,0.4735429447852761,2608,1235
hdc49-mcc10-01-0710-2202-035-tess0035.stratus.rno.ebay.com,4985,SUCCESS,0.471875,3200,1510
hdc49-mcc10-01-0710-2202-040-tess0035.stratus.rno.ebay.com,4280,SUCCESS,0.4701741385698407,2699,1269
hdc49-mcc10-01-0710-3709-031-tess0035.stratus.rno.ebay.com,4141,SUCCESS,0.4651257096512571,2466,1147
hdc49-mcc10-01-0710-1903-038-tess0035.stratus.rno.ebay.com,4879,SUCCESS,0.45838709677419354,3100,1421
hdc49-mcc10-01-0710-2604-013-tess0035.stratus.rno.ebay.com,5564,SUCCESS,0.430245661482984,4437,1909
hdc49-mcc10-01-0710-4102-035-tess0035.stratus.rno.ebay.com,4285,SUCCESS,0.4292929292929293,2772,1190
hdc49-mcc10-01-0710-3503-015-tess0035.stratus.rno.ebay.com,5283,SUCCESS,0.41850104821802936,3816,1597
hdc49-mcc10-01-0710-3709-022-tess0035.stratus.rno.ebay.com,4021,SUCCESS,0.4148271553519367,2401,996
hdc49-mcc10-01-0710-3709-032-tess0035.stratus.rno.ebay.com,5218,SUCCESS,0.38112272977435335,3634,1385
hdc49-mcc10-01-0710-2104-008-tess0035.stratus.rno.ebay.com,5307,SUCCESS,0.36621518016866855,3913,1433
hdc49-mcc10-01-0710-2605-027-tess0035.stratus.rno.ebay.com,4585,SUCCESS,0.3484586075510911,2887,1006
