host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-2510-014-tess0035.stratus.rno.ebay.com,6538,SUCCESS,0.9620991253644315,6517,6270
hdc49-mcc10-01-0710-4205-030-tess0035.stratus.rno.ebay.com,5934,SUCCESS,0.9614539306846999,5915,5687
hdc49-mcc10-01-0710-1903-040-tess0035.stratus.rno.ebay.com,6809,SUCCESS,0.9611078373600471,6788,6524
hdc49-mcc10-01-0710-2102-010-tess0035.stratus.rno.ebay.com,5590,SUCCESS,0.9610552763819096,5572,5355
hdc49-mcc10-01-0910-1701-002-tess0028.stratus.rno.ebay.com,5706,SUCCESS,0.9568357998590556,5676,5431
hdc49-mcc10-01-0710-1903-005-tess0035.stratus.rno.ebay.com,7819,SUCCESS,0.9563822963438101,7795,7455
hdc49-mcc10-01-0710-3503-003-tess0035.stratus.rno.ebay.com,7037,SUCCESS,0.9513968072976055,7016,6675
hdc49-mcc10-01-0910-1803-009-tess0028.stratus.rno.ebay.com,4746,SUCCESS,0.946912013536379,4728,4477
hdc49-mcc10-01-0710-2605-038-tess0035.stratus.rno.ebay.com,7332,SUCCESS,0.9455642396818867,7293,6896
hdc49-mcc10-01-0710-4105-037-tess0035.stratus.rno.ebay.com,5839,SUCCESS,0.9429553264604811,5820,5488
hdc49-mcc10-01-0710-3804-026-tess0035.stratus.rno.ebay.com,8444,SUCCESS,0.9357482185273159,8420,7879
hdc49-mcc10-01-0710-3804-026-tess0035.stratus.rno.ebay.com,8362,SUCCESS,0.9240081505453673,8343,7709
hdc49-mcc10-01-0710-4102-009-tess0035.stratus.rno.ebay.com,6945,SUCCESS,0.9232880670326495,6922,6391
hdc49-mcc10-01-0910-1710-008-tess0028.stratus.rno.ebay.com,7970,SUCCESS,0.852918973326623,7948,6779
hdc49-mcc10-01-0710-3709-002-tess0035.stratus.rno.ebay.com,8035,SUCCESS,0.8314185814185814,8008,6658
hdc49-mcc10-01-0710-2202-033-tess0035.stratus.rno.ebay.com,7645,SUCCESS,0.8286951955893935,7618,6313
hdc49-mcc10-01-0910-1710-029-tess0028.stratus.rno.ebay.com,7456,SUCCESS,0.8255954784012919,7431,6135
hdc49-mcc10-01-0910-2703-033-tess0028.stratus.rno.ebay.com,8593,SUCCESS,0.8229458450046685,8568,7051
hdc49-mcc10-01-0710-3503-001-tess0035.stratus.rno.ebay.com,6675,SUCCESS,0.8100315362667068,6659,5394
hdc49-mcc10-01-0710-2509-015-tess0035.stratus.rno.ebay.com,6332,SUCCESS,0.7732973487855215,6299,4871
