host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0910-1701-033-tess0028.stratus.rno.ebay.com,1896,SUCCESS,1499.7127429805616
hdc49-mcc10-01-0710-2202-011-tess0035.stratus.rno.ebay.com,2039,SUCCESS,1275.4471177944863
hdc49-mcc10-01-0710-1902-021-tess0035.stratus.rno.ebay.com,2492,SUCCESS,1073.0955125566077
hdc49-mcc10-01-0710-3709-001-tess0035.stratus.rno.ebay.com,2817,SUCCESS,981.3843377841935
hdc49-mcc10-01-0910-2703-033-tess0028.stratus.rno.ebay.com,2766,SUCCESS,978.2962146269754
hdc49-mcc10-01-0710-4102-030-tess0035.stratus.rno.ebay.com,2915,SUCCESS,961.8881509961552
hdc49-mcc10-01-0910-1710-031-tess0028.stratus.rno.ebay.com,2746,SUCCESS,941.7266616878268
hdc49-mcc10-01-0710-3509-040-tess0035.stratus.rno.ebay.com,2864,SUCCESS,921.5998578535892
hdc49-mcc10-01-0710-3908-010-tess0035.stratus.rno.ebay.com,2847,SUCCESS,913.1611865618298
hdc49-mcc10-01-0710-3509-026-tess0035.stratus.rno.ebay.com,3418,SUCCESS,888.6681627767804
hdc49-mcc10-01-0710-2509-034-tess0035.stratus.rno.ebay.com,3006,SUCCESS,862.6857046299425
hdc49-mcc10-01-0710-2509-017-tess0035.stratus.rno.ebay.com,3397,SUCCESS,757.3275552898984
hdc49-mcc10-01-0710-1903-025-tess0035.stratus.rno.ebay.com,3904,SUCCESS,705.7768487065587
hdc49-mcc10-01-0710-2509-006-tess0035.stratus.rno.ebay.com,3760,SUCCESS,694.8901780895844
hdc49-mcc10-01-0710-4105-008-tess0035.stratus.rno.ebay.com,1854,SUCCESS,0.0
hdc49-mcc10-01-0710-3503-001-tess0035.stratus.rno.ebay.com,2721,SUCCESS,0.0
hdc49-mcc10-01-0710-2510-029-tess0035.stratus.rno.ebay.com,1967,SUCCESS,0.0
hdc49-mcc10-01-0710-2603-006-tess0035.stratus.rno.ebay.com,2611,SUCCESS,0.0
hdc49-mcc10-01-0710-2509-004-tess0035.stratus.rno.ebay.com,5495,SUCCESS,0.0
hdc49-mcc10-01-0710-2104-037-tess0035.stratus.rno.ebay.com,2283,SUCCESS,0.0
