host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0910-2703-020-tess0028.stratus.rno.ebay.com,3388876,RUNNING,inf
hdc49-mcc10-01-0710-2102-033-tess0035.stratus.rno.ebay.com,3391117,RUNNING,inf
hdc49-mcc10-01-0710-3306-018-tess0035.stratus.rno.ebay.com,3403176,RUNNING,inf
hdc49-mcc10-01-0710-4102-009-tess0035.stratus.rno.ebay.com,3393221,RUNNING,inf
hdc49-mcc10-01-0910-2703-039-tess0028.stratus.rno.ebay.com,3392985,RUNNING,inf
hdc49-mcc10-01-0710-2202-004-tess0035.stratus.rno.ebay.com,3392704,RUNNING,inf
hdc49-mcc10-01-0710-3409-028-tess0035.stratus.rno.ebay.com,3389117,RUNNING,inf
hdc49-mcc10-01-0710-2604-031-tess0035.stratus.rno.ebay.com,3391897,RUNNING,inf
hdc49-mcc10-01-0710-1804-040-tess0035.stratus.rno.ebay.com,3404682,RUNNING,inf
hdc49-mcc10-01-0710-3503-022-tess0035.stratus.rno.ebay.com,3390471,RUNNING,inf
hdc49-mcc10-01-0910-2703-033-tess0028.stratus.rno.ebay.com,3399600,RUNNING,inf
hdc49-mcc10-01-0710-1804-010-tess0035.stratus.rno.ebay.com,3393775,RUNNING,inf
hdc49-mcc10-01-0710-1804-018-tess0035.stratus.rno.ebay.com,3389565,RUNNING,inf
hdc49-mcc10-01-0710-3804-001-tess0035.stratus.rno.ebay.com,3392379,RUNNING,inf
hdc49-mcc10-01-0710-1903-036-tess0035.stratus.rno.ebay.com,3387907,RUNNING,inf
hdc49-mcc10-01-0710-3306-015-tess0035.stratus.rno.ebay.com,3390563,RUNNING,inf
hdc49-mcc10-01-0710-3409-036-tess0035.stratus.rno.ebay.com,3391649,RUNNING,inf
hdc49-mcc10-01-0710-3602-034-tess0035.stratus.rno.ebay.com,3390327,RUNNING,inf
hdc49-mcc10-01-0910-1803-030-tess0028.stratus.rno.ebay.com,3392677,RUNNING,inf
hdc49-mcc10-01-0710-3409-006-tess0035.stratus.rno.ebay.com,3391786,RUNNING,inf
