host,duration,status,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleWriteMetrics.writeTime
hdc49-mcc10-01-0710-3503-017-tess0035.stratus.rno.ebay.com,51939,RUNNING,0,0,51532,0
hdc49-mcc10-01-0710-3302-029-tess0035.stratus.rno.ebay.com,14196,KILLED,0,0,5977,0
hdc49-mcc10-01-0910-1901-001-tess0028.stratus.rno.ebay.com,7857,SUCCESS,2430,10738884,2597,11192088
