host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-1804-016-tess0035.stratus.rno.ebay.com,381730,SUCCESS,186.83763122250778
hdc49-mcc10-01-0710-4105-036-tess0035.stratus.rno.ebay.com,377425,SUCCESS,182.32171615867472
hdc49-mcc10-01-0710-4102-020-tess0035.stratus.rno.ebay.com,620673,SUCCESS,118.74747855928732
hdc49-mcc10-01-0910-1701-034-tess0028.stratus.rno.ebay.com,638643,SUCCESS,116.29210576588821
hdc49-mcc10-01-0710-3804-024-tess0035.stratus.rno.ebay.com,640711,SUCCESS,114.22331773053409
hdc49-mcc10-01-0710-3602-029-tess0035.stratus.rno.ebay.com,636106,SUCCESS,111.99546126986972
hdc49-mcc10-01-0710-2102-016-tess0035.stratus.rno.ebay.com,691018,SUCCESS,100.12644230421348
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,916340,SUCCESS,79.30206785010378
hdc49-mcc10-01-0710-2603-032-tess0035.stratus.rno.ebay.com,1116629,SUCCESS,63.61408252164599
hdc49-mcc10-01-0710-1804-002-tess0035.stratus.rno.ebay.com,1376564,SUCCESS,55.1219213459883
hdc49-mcc10-01-0710-2003-040-tess0035.stratus.rno.ebay.com,1286459,SUCCESS,54.50244397665474
hdc49-mcc10-01-0710-2605-038-tess0035.stratus.rno.ebay.com,1470172,SUCCESS,50.09346320758567
hdc49-mcc10-01-0710-3804-024-tess0035.stratus.rno.ebay.com,1576291,RUNNING,
hdc49-mcc10-01-0710-3602-001-tess0035.stratus.rno.ebay.com,1576695,RUNNING,
hdc49-mcc10-01-0710-2202-034-tess0035.stratus.rno.ebay.com,1575506,RUNNING,
hdc49-mcc10-01-0910-1710-020-tess0028.stratus.rno.ebay.com,1577351,RUNNING,
hdc49-mcc10-01-0710-1804-006-tess0035.stratus.rno.ebay.com,1581995,RUNNING,
hdc49-mcc10-01-0710-3302-038-tess0035.stratus.rno.ebay.com,1573919,RUNNING,
hdc49-mcc10-01-0710-2510-012-tess0035.stratus.rno.ebay.com,1576935,RUNNING,
hdc49-mcc10-01-0710-2603-025-tess0035.stratus.rno.ebay.com,1576122,RUNNING,
