host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-1804-039-tess0035.stratus.rno.ebay.com,8566,SUCCESS,1249.1511355654413
hdc49-mcc10-01-0710-2102-007-tess0035.stratus.rno.ebay.com,8864,SUCCESS,1209.5218767665347
hdc49-mcc10-01-0710-2603-029-tess0035.stratus.rno.ebay.com,9535,SUCCESS,1123.1521076421739
hdc49-mcc10-01-0710-2605-036-tess0035.stratus.rno.ebay.com,9820,SUCCESS,1097.4669117647059
hdc49-mcc10-01-0710-1902-039-tess0035.stratus.rno.ebay.com,9967,SUCCESS,1077.3256234915527
hdc49-mcc10-01-0710-1902-028-tess0035.stratus.rno.ebay.com,11288,SUCCESS,953.1506569602273
hdc49-mcc10-01-0710-3804-033-tess0035.stratus.rno.ebay.com,11412,SUCCESS,945.4206042508343
hdc49-mcc10-01-0710-3409-030-tess0035.stratus.rno.ebay.com,12295,SUCCESS,873.6072970111572
hdc49-mcc10-01-0710-4105-036-tess0035.stratus.rno.ebay.com,12425,SUCCESS,863.9858870967741
hdc49-mcc10-01-0710-3409-008-tess0035.stratus.rno.ebay.com,13058,SUCCESS,824.762277470841
hdc49-mcc10-01-0710-3306-026-tess0035.stratus.rno.ebay.com,13666,SUCCESS,780.4856745072177
hdc49-mcc10-01-0710-3509-002-tess0035.stratus.rno.ebay.com,14004,SUCCESS,766.373345732885
hdc49-mcc10-01-0710-4105-037-tess0035.stratus.rno.ebay.com,14315,SUCCESS,748.71658389872
hdc49-mcc10-01-0910-1710-037-tess0028.stratus.rno.ebay.com,15288,SUCCESS,702.8699213630406
hdc49-mcc10-01-0710-2603-007-tess0035.stratus.rno.ebay.com,17730,SUCCESS,601.8667344288215
hdc49-mcc10-01-0910-1710-004-tess0028.stratus.rno.ebay.com,18613,SUCCESS,576.2886259747244
hdc49-mcc10-01-0710-1804-005-tess0035.stratus.rno.ebay.com,18597,SUCCESS,575.6812297734627
hdc49-mcc10-01-0910-1803-036-tess0028.stratus.rno.ebay.com,20837,SUCCESS,514.5533406984005
hdc49-mcc10-01-0710-3804-001-tess0035.stratus.rno.ebay.com,22124,SUCCESS,482.91709656982533
hdc49-mcc10-01-0710-3804-025-tess0035.stratus.rno.ebay.com,26339,SUCCESS,406.3656914893617
