host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-2509-034-tess0035.stratus.rno.ebay.com,569,SUCCESS,0.9263959390862944,394,365
hdc49-mcc10-01-0710-2603-010-tess0035.stratus.rno.ebay.com,508,SUCCESS,0.9129129129129129,333,304
hdc49-mcc10-01-0710-3509-020-tess0035.stratus.rno.ebay.com,1421,SUCCESS,0.24264120922832141,1257,305
hdc49-mcc10-01-0710-1903-034-tess0035.stratus.rno.ebay.com,3839,SUCCESS,0.11266065080667213,3657,412
hdc49-mcc10-01-0710-3804-023-tess0035.stratus.rno.ebay.com,3704,SUCCESS,0.09789029535864979,3555,348
hdc49-mcc10-01-0710-1804-018-tess0035.stratus.rno.ebay.com,3841,SUCCESS,0.09399619668568324,3681,346
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,3874,SUCCESS,0.09308582189938122,3717,346
hdc49-mcc10-01-0710-2202-032-tess0035.stratus.rno.ebay.com,3839,SUCCESS,0.08853173522201035,3671,325
hdc49-mcc10-01-0710-2605-005-tess0035.stratus.rno.ebay.com,3842,SUCCESS,0.08657772937653145,3673,318
hdc49-mcc10-01-0710-1903-040-tess0035.stratus.rno.ebay.com,4157,SUCCESS,0.08601062484189223,3953,340
hdc49-mcc10-01-0710-4205-014-tess0035.stratus.rno.ebay.com,3901,SUCCESS,0.08079186730872125,3738,302
hdc49-mcc10-01-0710-2603-015-tess0035.stratus.rno.ebay.com,3834,SUCCESS,0.07307796794349361,3681,269
hdc49-mcc10-01-0710-1903-035-tess0035.stratus.rno.ebay.com,4113,SUCCESS,0.07124810510358767,3958,282
hdc49-mcc10-01-0710-4205-012-tess0035.stratus.rno.ebay.com,3842,SUCCESS,0.07121581370159762,3693,263
hdc49-mcc10-01-0710-2604-007-tess0035.stratus.rno.ebay.com,3875,SUCCESS,0.07106462858675248,3729,265
hdc49-mcc10-01-0710-3302-002-tess0035.stratus.rno.ebay.com,3835,SUCCESS,0.07086614173228346,3683,261
hdc49-mcc10-01-0710-4205-025-tess0035.stratus.rno.ebay.com,3964,SUCCESS,0.06839622641509434,3816,261
hdc49-mcc10-01-0710-2104-008-tess0035.stratus.rno.ebay.com,4035,SUCCESS,0.0632094943240454,3876,245
hdc49-mcc10-01-0710-2603-008-tess0035.stratus.rno.ebay.com,3901,SUCCESS,0.06151797603195739,3755,231
hdc49-mcc10-01-0910-1701-004-tess0028.stratus.rno.ebay.com,5301,SUCCESS,0.06028092079594226,5126,309
