host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-4102-017-tess0035.stratus.rno.ebay.com,162888,SUCCESS,0.984151253899246,162852,160271
hdc49-mcc10-01-0710-3509-020-tess0035.stratus.rno.ebay.com,146161,SUCCESS,0.9811538961616632,146131,143377
hdc49-mcc10-01-0710-2102-003-tess0035.stratus.rno.ebay.com,97826,SUCCESS,0.9794378380589156,97801,95790
hdc49-mcc10-01-0910-1710-008-tess0028.stratus.rno.ebay.com,147322,SUCCESS,0.9740585092299023,147293,143472
hdc49-mcc10-01-0710-2102-012-tess0035.stratus.rno.ebay.com,106821,SUCCESS,0.9708223308425566,106794,103678
hdc49-mcc10-01-0910-1901-016-tess0028.stratus.rno.ebay.com,117345,SUCCESS,0.9672335166006052,117315,113471
hdc49-mcc10-01-0710-1902-010-tess0035.stratus.rno.ebay.com,130665,SUCCESS,0.9657814760661712,130631,126161
hdc49-mcc10-01-0710-2510-012-tess0035.stratus.rno.ebay.com,167347,SUCCESS,0.9655796884899052,167314,161555
hdc49-mcc10-01-0710-4102-024-tess0035.stratus.rno.ebay.com,125385,SUCCESS,0.9574904275686025,125360,120031
hdc49-mcc10-01-0710-1903-025-tess0035.stratus.rno.ebay.com,171854,SUCCESS,0.9358604994965457,171813,160793
hdc49-mcc10-01-0710-2104-028-tess0035.stratus.rno.ebay.com,156927,SUCCESS,0.9325863464565926,156897,146320
hdc49-mcc10-01-0710-2604-023-tess0035.stratus.rno.ebay.com,112118,SUCCESS,0.8947382507226207,112092,100293
hdc49-mcc10-01-0710-3409-014-tess0035.stratus.rno.ebay.com,140615,SUCCESS,0.8922717469446442,139100,124115
hdc49-mcc10-01-0710-3503-014-tess0035.stratus.rno.ebay.com,174289,SUCCESS,0.8795656465942744,174236,153252
hdc49-mcc10-01-0710-2510-037-tess0035.stratus.rno.ebay.com,195350,SUCCESS,0.8724841149153393,195309,170404
hdc49-mcc10-01-0910-1701-035-tess0028.stratus.rno.ebay.com,242199,SUCCESS,0.5945895722698029,242162,143987
hdc49-mcc10-01-0710-2603-036-tess0035.stratus.rno.ebay.com,265052,SUCCESS,0.5628924409829137,265008,149171
hdc49-mcc10-01-0910-1710-030-tess0028.stratus.rno.ebay.com,289528,SUCCESS,0.5526983940556917,289487,159999
hdc49-mcc10-01-0910-1701-037-tess0028.stratus.rno.ebay.com,286920,SUCCESS,0.51850186482624,286890,148753
hdc49-mcc10-01-0710-3306-033-tess0035.stratus.rno.ebay.com,292500,SUCCESS,0.5035799522673031,292462,147278
