host,duration,status
hdc49-mcc10-01-0710-3409-027-tess0035.stratus.rno.ebay.com,4637.0,SUCCESS
hdc49-mcc10-01-0710-3908-020-tess0035.stratus.rno.ebay.com,4529.0,SUCCESS
hdc49-mcc10-01-0710-3409-016-tess0035.stratus.rno.ebay.com,4481.0,SUCCESS
hdc49-mcc10-01-0710-3302-030-tess0035.stratus.rno.ebay.com,4455.0,SUCCESS
hdc49-mcc10-01-0710-3709-005-tess0035.stratus.rno.ebay.com,4445.0,RUNNING
hdc49-mcc10-01-0710-2509-031-tess0035.stratus.rno.ebay.com,4335.0,RUNNING
hdc49-mcc10-01-0710-3602-028-tess0035.stratus.rno.ebay.com,4244.0,SUCCESS
