CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
0,0,0,0,0,1,54,3703,ACTIVE,2020-07-30T07:00:28.001GMT
1,0,0,0,0,0,203,3699,ACTIVE,2020-07-30T06:57:06.926GMT
