host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0910-1701-020-tess0028.stratus.rno.ebay.com,37702,SUCCESS,0.6876859012492564,36982,25432
hdc49-mcc10-01-0710-3306-027-tess0035.stratus.rno.ebay.com,54552,SUCCESS,0.669746602465188,53789,36025
hdc49-mcc10-01-0710-2003-021-tess0035.stratus.rno.ebay.com,36908,SUCCESS,0.6534894665448606,36123,23606
hdc49-mcc10-01-0910-1803-009-tess0028.stratus.rno.ebay.com,48817,SUCCESS,0.6064067026531336,47981,29096
hdc49-mcc10-01-0710-2603-030-tess0035.stratus.rno.ebay.com,44649,SUCCESS,0.6006192655328644,43923,26381
hdc49-mcc10-01-0710-3602-005-tess0035.stratus.rno.ebay.com,48380,SUCCESS,0.5911895386299986,47489,28075
hdc49-mcc10-01-0710-3709-018-tess0035.stratus.rno.ebay.com,34612,SUCCESS,0.5894696455449635,33883,19973
hdc49-mcc10-01-0710-4102-033-tess0035.stratus.rno.ebay.com,33200,SUCCESS,0.5578444957659738,32475,18116
hdc49-mcc10-01-0710-1903-030-tess0035.stratus.rno.ebay.com,35121,SUCCESS,0.5463854545454545,34375,18782
hdc49-mcc10-01-0710-3302-039-tess0035.stratus.rno.ebay.com,32697,SUCCESS,0.5423145511998247,31963,17334
hdc49-mcc10-01-0710-2202-013-tess0035.stratus.rno.ebay.com,44764,SUCCESS,0.5422258555305766,44037,23878
hdc49-mcc10-01-0710-2603-023-tess0035.stratus.rno.ebay.com,44557,SUCCESS,0.5332511753160801,43818,23366
hdc49-mcc10-01-0710-2104-017-tess0035.stratus.rno.ebay.com,30632,SUCCESS,0.5314287625865587,29893,15886
hdc49-mcc10-01-0910-2703-037-tess0028.stratus.rno.ebay.com,44018,SUCCESS,0.5268712903300307,43299,22813
hdc49-mcc10-01-0710-4105-031-tess0035.stratus.rno.ebay.com,38684,SUCCESS,0.5265793426982579,37943,19980
hdc49-mcc10-01-0710-3306-011-tess0035.stratus.rno.ebay.com,39648,SUCCESS,0.5239931117793714,38907,20387
hdc49-mcc10-01-0910-1710-014-tess0028.stratus.rno.ebay.com,30806,SUCCESS,0.5177217715121691,30076,15571
hdc49-mcc10-01-0710-1903-033-tess0035.stratus.rno.ebay.com,55760,SUCCESS,0.4852906437955409,55033,26707
hdc49-mcc10-01-0710-3709-038-tess0035.stratus.rno.ebay.com,50356,SUCCESS,0.472118059755655,49602,23418
hdc49-mcc10-01-0710-1804-012-tess0035.stratus.rno.ebay.com,77230,SUCCESS,0.46245782880456104,76474,35366
