host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0910-1710-040-tess0028.stratus.rno.ebay.com,15101,SUCCESS,0.7267421419028198,14221,10335
hdc49-mcc10-01-0710-2510-017-tess0035.stratus.rno.ebay.com,12874,SUCCESS,0.7248456532621391,11986,8688
hdc49-mcc10-01-0710-1902-011-tess0035.stratus.rno.ebay.com,14881,SUCCESS,0.711479391385099,13999,9960
hdc49-mcc10-01-0710-2003-037-tess0035.stratus.rno.ebay.com,14290,SUCCESS,0.6876260174744231,13391,9208
hdc49-mcc10-01-0710-3709-002-tess0035.stratus.rno.ebay.com,14068,SUCCESS,0.6856796116504854,13184,9040
hdc49-mcc10-01-0710-2510-008-tess0035.stratus.rno.ebay.com,18111,SUCCESS,0.6848185776487663,17225,11796
hdc49-mcc10-01-0710-3908-008-tess0035.stratus.rno.ebay.com,14495,SUCCESS,0.6827226668624715,13619,9298
hdc49-mcc10-01-0710-3302-006-tess0035.stratus.rno.ebay.com,15612,SUCCESS,0.681015752308528,14728,10030
hdc49-mcc10-01-0710-3302-039-tess0035.stratus.rno.ebay.com,15540,SUCCESS,0.6416149491918434,14663,9408
hdc49-mcc10-01-0710-3509-001-tess0035.stratus.rno.ebay.com,27196,SUCCESS,0.6202393906420022,25732,15960
hdc49-mcc10-01-0710-2510-039-tess0035.stratus.rno.ebay.com,13787,SUCCESS,0.6127982646420824,12908,7910
hdc49-mcc10-01-0710-3509-004-tess0035.stratus.rno.ebay.com,18838,SUCCESS,0.6049224243777207,17918,10839
hdc49-mcc10-01-0710-2605-010-tess0035.stratus.rno.ebay.com,15901,SUCCESS,0.5774479131997604,15023,8675
hdc49-mcc10-01-0710-2603-014-tess0035.stratus.rno.ebay.com,17068,SUCCESS,0.5727261492832427,16184,9269
hdc49-mcc10-01-0710-2604-021-tess0035.stratus.rno.ebay.com,28230,SUCCESS,0.50992673992674,27300,13921
hdc49-mcc10-01-0910-1710-035-tess0028.stratus.rno.ebay.com,20213,SUCCESS,0.4902985460754385,19327,9476
hdc49-mcc10-01-0710-3908-015-tess0035.stratus.rno.ebay.com,29502,SUCCESS,0.3653738644304682,28620,10457
hdc49-mcc10-01-0710-4102-031-tess0035.stratus.rno.ebay.com,36093,SUCCESS,0.27336495044443815,35213,9626
hdc49-mcc10-01-0710-3908-020-tess0035.stratus.rno.ebay.com,37777,SUCCESS,0.2549652702409377,36856,9397
hdc49-mcc10-01-0710-4105-014-tess0035.stratus.rno.ebay.com,52102,SUCCESS,0.17684498242873878,51220,9058
