host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-2604-040-tess0035.stratus.rno.ebay.com,47417,SUCCESS,21371.608623022923
hdc49-mcc10-01-0710-2104-017-tess0035.stratus.rno.ebay.com,49040,SUCCESS,20786.8019951756
hdc49-mcc10-01-0910-1901-027-tess0028.stratus.rno.ebay.com,50499,SUCCESS,20135.940300877228
hdc49-mcc10-01-0710-2604-015-tess0035.stratus.rno.ebay.com,52204,SUCCESS,19591.073427781615
hdc49-mcc10-01-0710-3709-011-tess0035.stratus.rno.ebay.com,52415,SUCCESS,19324.960338859884
hdc49-mcc10-01-0710-3409-015-tess0035.stratus.rno.ebay.com,54266,SUCCESS,18713.730044130953
hdc49-mcc10-01-0710-3503-026-tess0035.stratus.rno.ebay.com,56300,SUCCESS,18087.708854676515
hdc49-mcc10-01-0710-1804-016-tess0035.stratus.rno.ebay.com,56891,SUCCESS,17835.79729110892
hdc49-mcc10-01-0910-1803-038-tess0028.stratus.rno.ebay.com,57341,SUCCESS,17646.384788801315
hdc49-mcc10-01-0710-3409-024-tess0035.stratus.rno.ebay.com,59518,SUCCESS,17038.511767280565
hdc49-mcc10-01-0710-2510-036-tess0035.stratus.rno.ebay.com,60154,SUCCESS,17033.27759826782
hdc49-mcc10-01-0710-4205-014-tess0035.stratus.rno.ebay.com,61978,SUCCESS,16437.68720700915
hdc49-mcc10-01-0710-1804-035-tess0035.stratus.rno.ebay.com,65627,SUCCESS,15497.997237105219
hdc49-mcc10-01-0910-1803-023-tess0028.stratus.rno.ebay.com,65953,SUCCESS,15489.016099880011
hdc49-mcc10-01-0710-4205-016-tess0035.stratus.rno.ebay.com,66278,SUCCESS,15339.166752320203
hdc49-mcc10-01-0710-1804-030-tess0035.stratus.rno.ebay.com,66984,SUCCESS,15179.427791652335
hdc49-mcc10-01-0710-3908-040-tess0035.stratus.rno.ebay.com,69174,SUCCESS,14675.162195033665
hdc49-mcc10-01-0710-3709-007-tess0035.stratus.rno.ebay.com,69186,SUCCESS,14632.798274064635
hdc49-mcc10-01-0710-2202-028-tess0035.stratus.rno.ebay.com,83208,SUCCESS,12367.432782465305
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,92495,SUCCESS,11026.56493879009
