CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
1,0,0,0,0,0,51,144743,ACTIVE,2020-07-30T08:19:39.757GMT
1,0,0,0,0,0,2500,144729,ACTIVE,2020-07-30T08:19:32.426GMT
1,0,0,0,0,0,7500,144694,ACTIVE,2020-07-30T08:18:52.277GMT
1,0,0,0,0,0,6000,144651,ACTIVE,2020-07-30T08:18:06.628GMT
1,0,0,0,0,0,500,144601,ACTIVE,2020-07-30T08:17:46.658GMT
1,0,0,0,0,0,500,144585,ACTIVE,2020-07-30T08:17:43.823GMT
0,1,0,0,0,0,5000,144545,ACTIVE,2020-07-30T08:17:12.603GMT
1,0,0,0,0,0,334,144434,ACTIVE,2020-07-30T08:15:44.186GMT
