host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-1804-025-tess0035.stratus.rno.ebay.com,1928,SUCCESS,0.9962845010615711,1884,1877
hdc49-mcc10-01-0710-3409-016-tess0035.stratus.rno.ebay.com,2050,SUCCESS,0.9950174389636273,2007,1997
hdc49-mcc10-01-0710-3302-004-tess0035.stratus.rno.ebay.com,2670,SUCCESS,0.9847619047619047,2625,2585
hdc49-mcc10-01-0710-4105-037-tess0035.stratus.rno.ebay.com,2069,SUCCESS,0.9846913580246913,2025,1994
hdc49-mcc10-01-0710-2104-029-tess0035.stratus.rno.ebay.com,2286,SUCCESS,0.9834821428571429,2240,2203
hdc49-mcc10-01-0910-1803-021-tess0028.stratus.rno.ebay.com,2610,SUCCESS,0.9805068226120858,2565,2515
hdc49-mcc10-01-0710-2605-019-tess0035.stratus.rno.ebay.com,2361,SUCCESS,0.9780172413793103,2320,2269
hdc49-mcc10-01-0710-4105-039-tess0035.stratus.rno.ebay.com,2504,SUCCESS,0.9747351263243684,2454,2392
hdc49-mcc10-01-0710-3804-004-tess0035.stratus.rno.ebay.com,2424,SUCCESS,0.9721871049304678,2373,2307
hdc49-mcc10-01-0710-3908-012-tess0035.stratus.rno.ebay.com,2337,SUCCESS,0.9720767888307156,2292,2228
hdc49-mcc10-01-0710-2603-025-tess0035.stratus.rno.ebay.com,2896,SUCCESS,0.9645240604144714,2847,2746
hdc49-mcc10-01-0710-2604-039-tess0035.stratus.rno.ebay.com,2423,SUCCESS,0.9633066216786166,2371,2284
hdc49-mcc10-01-0710-3503-036-tess0035.stratus.rno.ebay.com,2342,SUCCESS,0.9386689865158765,2299,2158
hdc49-mcc10-01-0710-2603-022-tess0035.stratus.rno.ebay.com,3382,SUCCESS,0.8478260869565217,3312,2808
hdc49-mcc10-01-0910-1901-029-tess0028.stratus.rno.ebay.com,3754,SUCCESS,0.7246690083761146,3701,2682
hdc49-mcc10-01-0910-1710-010-tess0028.stratus.rno.ebay.com,3906,SUCCESS,0.6913900414937759,3856,2666
hdc49-mcc10-01-0710-1804-023-tess0035.stratus.rno.ebay.com,3314,SUCCESS,0.6807598039215687,3264,2222
hdc49-mcc10-01-0710-3509-009-tess0035.stratus.rno.ebay.com,8887,SUCCESS,0.6715535856347312,8799,5909
hdc49-mcc10-01-0710-1903-033-tess0035.stratus.rno.ebay.com,3504,SUCCESS,0.6563494359271044,3457,2269
hdc49-mcc10-01-0710-3509-025-tess0035.stratus.rno.ebay.com,3043,SUCCESS,0.6455273698264352,2996,1934
