host,duration,status,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleWriteMetrics.writeTime
hdc49-mcc10-01-0710-3908-034-tess0035.stratus.rno.ebay.com,16042,SUCCESS,7679065,3898759
hdc49-mcc10-01-0710-4105-018-tess0035.stratus.rno.ebay.com,13807,SUCCESS,4681672,3748961
