CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
1,0,0,0,0,0,11151,16533,ACTIVE,2020-07-30T06:58:20.390GMT
0,0,0,0,0,1,10000,16110,ACTIVE,2020-07-30T06:02:34.606GMT
