host,duration,status,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleReadMetrics.fetchWaitTime
hdc49-mcc10-01-0710-2603-039-tess0035.stratus.rno.ebay.com,972,SUCCESS,52456732,685
hdc49-mcc10-01-0710-3409-010-tess0035.stratus.rno.ebay.com,322,SUCCESS,23506733,152
