host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-3602-031-tess0035.stratus.rno.ebay.com,11319,RUNNING,inf
hdc49-mcc10-01-0710-3509-001-tess0035.stratus.rno.ebay.com,11416,RUNNING,inf
hdc49-mcc10-01-0710-2104-019-tess0035.stratus.rno.ebay.com,6243,RUNNING,inf
hdc49-mcc10-01-0710-2510-008-tess0035.stratus.rno.ebay.com,5885,RUNNING,inf
hdc49-mcc10-01-0710-3509-025-tess0035.stratus.rno.ebay.com,10417,SUCCESS,39689.65028089887
hdc49-mcc10-01-0710-1902-003-tess0035.stratus.rno.ebay.com,11470,SUCCESS,36032.23091211262
hdc49-mcc10-01-0710-2102-024-tess0035.stratus.rno.ebay.com,11962,SUCCESS,34357.11513004568
hdc49-mcc10-01-0710-3306-006-tess0035.stratus.rno.ebay.com,13324,SUCCESS,33806.414930270716
hdc49-mcc10-01-0710-2104-006-tess0035.stratus.rno.ebay.com,11963,SUCCESS,33599.912480340456
hdc49-mcc10-01-0910-1803-010-tess0028.stratus.rno.ebay.com,12967,SUCCESS,32882.22317487266
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,13189,SUCCESS,31666.109439920227
hdc49-mcc10-01-0710-3306-027-tess0035.stratus.rno.ebay.com,12776,SUCCESS,31636.724473956536
hdc49-mcc10-01-0710-2604-032-tess0035.stratus.rno.ebay.com,13093,SUCCESS,31464.558017054005
hdc49-mcc10-01-0710-4102-007-tess0035.stratus.rno.ebay.com,13457,SUCCESS,31442.89101260675
hdc49-mcc10-01-0710-4105-028-tess0035.stratus.rno.ebay.com,12691,SUCCESS,31379.298076923078
hdc49-mcc10-01-0710-2605-001-tess0035.stratus.rno.ebay.com,12620,SUCCESS,31208.296627244854
hdc49-mcc10-01-0710-2605-028-tess0035.stratus.rno.ebay.com,13266,SUCCESS,30720.834170854272
hdc49-mcc10-01-0710-3409-017-tess0035.stratus.rno.ebay.com,13423,SUCCESS,30511.20325732899
hdc49-mcc10-01-0710-3908-015-tess0035.stratus.rno.ebay.com,14131,SUCCESS,27431.18522833178
hdc49-mcc10-01-0710-2603-039-tess0035.stratus.rno.ebay.com,14362,SUCCESS,27355.888981762917
