CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
0,0,0,0,0,1,617,3807,ACTIVE,2020-07-30T08:19:17.123GMT
0,0,0,0,0,1,5000,3806,ACTIVE,2020-07-30T08:19:14.842GMT
