accumulatorUpdates|attemptId|description|details|diskBytesSpilled|executorBlockTime|executorCpuTime|executorRunTime|executorWaitTime|firstTaskLaunchedTime|inputBytes|inputRecords|killedTasksSummary.another attempt succeeded|memoryBytesSpilled|name|numActiveTasks|numCompleteTasks|numCompletedIndices|numFailedTasks|numKilledTasks|numTasks|outputBytes|outputRecords|rddIds|schedulingPool|shuffleReadBytes|shuffleReadRecords|shuffleWriteBytes|shuffleWriteRecords|stageId|status|submissionTime
[]|0|"SELECT  *
FROM P_TI.REPLENISHMENT_CH as ch
inner join PRS_RESTRICTED_V.USER_DNA_FM_SGMNT as fm
on ch.user_id = fm.user_id 
	and ch.cre_date between fm.start_date and fm.end_date
left join ACCESS_VIEWS.DW_CHECKOUT_TRANS as t 
on  ch.user_id = t.buyer_id 
	and ch.leaf_categ_id = t.leaf_categ_id 
	and t.created_dt between  ch.cre_date and date_add(ch.cre_date,7)
	and t.auct_end_dt >= to_date('2018-08-01') 
where ch.USER_ID in (84229691,86889293,87448044,88803485,89826408,90719368,90779582,91172905,96384292,97201987,97869288,101350571,
105963386,108741349,109049331,109466372,111457479,111778070,112927722,115185297,116017674,118186468,118555242,119249048,
119919466,121210415,121749755,123412922,124134892,124933417,125003467,128082889,128721094,131789883,133207951,134287989,
135183259,136815952,140999721,143961814,147237742,147688726)
and ch.cre_date >= date_sub(CURRENT_DATE, 7)"|"org.apache.spark.sql.hive.thriftserver.SparkExecuteStatementOperation$$anon$1$$anon$2.run(SparkExecuteStatementOperation.scala:205)
java.security.AccessController.doPrivileged(Native Method)
javax.security.auth.Subject.doAs(Subject.java:422)
org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1869)
org.apache.spark.sql.hive.thriftserver.SparkExecuteStatementOperation$$anon$1.run(SparkExecuteStatementOperation.scala:219)
java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511)
java.util.concurrent.FutureTask.run(FutureTask.java:266)
java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
java.lang.Thread.run(Thread.java:748)"|0|0|1767543|7641759|0|2020-07-30T08:19:27.392GMT|76102193711|7334759855|16.0|0|run at AccessController.java:0|9|613|613|0|16|617|0|0|[7739, 7738, 7737]|default|0|0|122123|939|3807|ACTIVE|2020-07-30T08:19:17.123GMT
[]|0|"SELECT  *
FROM P_TI.REPLENISHMENT_CH as ch
inner join PRS_RESTRICTED_V.USER_DNA_FM_SGMNT as fm
on ch.user_id = fm.user_id 
	and ch.cre_date between fm.start_date and fm.end_date
left join ACCESS_VIEWS.DW_CHECKOUT_TRANS as t 
on  ch.user_id = t.buyer_id 
	and ch.leaf_categ_id = t.leaf_categ_id 
	and t.created_dt between  ch.cre_date and date_add(ch.cre_date,7)
	and t.auct_end_dt >= to_date('2018-08-01') 
where ch.USER_ID in (84229691,86889293,87448044,88803485,89826408,90719368,90779582,91172905,96384292,97201987,97869288,101350571,
105963386,108741349,109049331,109466372,111457479,111778070,112927722,115185297,116017674,118186468,118555242,119249048,
119919466,121210415,121749755,123412922,124134892,124933417,125003467,128082889,128721094,131789883,133207951,134287989,
135183259,136815952,140999721,143961814,147237742,147688726)
and ch.cre_date >= date_sub(CURRENT_DATE, 7)"|"org.apache.spark.sql.hive.thriftserver.SparkExecuteStatementOperation$$anon$1$$anon$2.run(SparkExecuteStatementOperation.scala:205)
java.security.AccessController.doPrivileged(Native Method)
javax.security.auth.Subject.doAs(Subject.java:422)
org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1869)
org.apache.spark.sql.hive.thriftserver.SparkExecuteStatementOperation$$anon$1.run(SparkExecuteStatementOperation.scala:219)
java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511)
java.util.concurrent.FutureTask.run(FutureTask.java:266)
java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
java.lang.Thread.run(Thread.java:748)"|0|0|35476778|41442680|0|2020-07-30T08:19:14.890GMT|681727228730|3700234690||0|run at AccessController.java:0|1037|2165|2165|0|0|5000|0|0|[7736, 7732, 7733, 7731, 7735, 7734]|default|0|0|3014576|5420|3806|ACTIVE|2020-07-30T08:19:14.842GMT
