host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-2605-010-tess0035.stratus.rno.ebay.com,71763,RUNNING,inf
hdc49-mcc10-01-0710-2605-010-tess0035.stratus.rno.ebay.com,60255,RUNNING,inf
hdc49-mcc10-01-0710-2509-010-tess0035.stratus.rno.ebay.com,58901,RUNNING,inf
hdc49-mcc10-01-0710-3302-030-tess0035.stratus.rno.ebay.com,56498,RUNNING,inf
hdc49-mcc10-01-0710-4205-001-tess0035.stratus.rno.ebay.com,60420,RUNNING,inf
hdc49-mcc10-01-0710-2605-028-tess0035.stratus.rno.ebay.com,73007,RUNNING,inf
hdc49-mcc10-01-0710-4102-023-tess0035.stratus.rno.ebay.com,54892,RUNNING,inf
hdc49-mcc10-01-0910-1901-006-tess0028.stratus.rno.ebay.com,1369,SUCCESS,166.59375
hdc49-mcc10-01-0710-3306-014-tess0035.stratus.rno.ebay.com,1378,SUCCESS,151.0595238095238
hdc49-mcc10-01-0910-1803-010-tess0028.stratus.rno.ebay.com,1406,SUCCESS,124.80066445182725
hdc49-mcc10-01-0910-1803-001-tess0028.stratus.rno.ebay.com,1414,SUCCESS,106.63305322128852
hdc49-mcc10-01-0710-4105-012-tess0035.stratus.rno.ebay.com,1416,SUCCESS,82.3068669527897
hdc49-mcc10-01-0710-2202-024-tess0035.stratus.rno.ebay.com,1476,SUCCESS,70.46629213483146
hdc49-mcc10-01-0710-2003-034-tess0035.stratus.rno.ebay.com,1459,SUCCESS,65.06884681583477
hdc49-mcc10-01-0710-4102-016-tess0035.stratus.rno.ebay.com,1773,SUCCESS,33.30749128919861
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,1863,SUCCESS,30.394354838709678
hdc49-mcc10-01-0910-1901-029-tess0028.stratus.rno.ebay.com,1897,SUCCESS,26.170532060027284
hdc49-mcc10-01-0910-2703-031-tess0028.stratus.rno.ebay.com,2039,SUCCESS,23.179720704310867
hdc49-mcc10-01-0710-3709-027-tess0035.stratus.rno.ebay.com,2103,SUCCESS,23.10217654171705
hdc49-mcc10-01-0710-3804-016-tess0035.stratus.rno.ebay.com,3200,SUCCESS,13.380191693290735
