host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-4105-031-tess0035.stratus.rno.ebay.com,1572,SUCCESS,0.24444444444444444,1215,297
hdc49-mcc10-01-0910-1901-022-tess0028.stratus.rno.ebay.com,1539,SUCCESS,0.23318385650224216,1338,312
hdc49-mcc10-01-0710-3908-008-tess0035.stratus.rno.ebay.com,1158,SUCCESS,0.18640576725025745,971,181
hdc49-mcc10-01-0710-2003-038-tess0035.stratus.rno.ebay.com,1493,SUCCESS,0.15038759689922482,1290,194
hdc49-mcc10-01-0710-3503-034-tess0035.stratus.rno.ebay.com,1514,SUCCESS,0.13646877409406322,1297,177
hdc49-mcc10-01-0710-2603-018-tess0035.stratus.rno.ebay.com,1822,SUCCESS,0.1336206896551724,1624,217
hdc49-mcc10-01-0910-1701-039-tess0028.stratus.rno.ebay.com,1649,SUCCESS,0.13210130047912388,1461,193
hdc49-mcc10-01-0710-3804-022-tess0035.stratus.rno.ebay.com,1752,SUCCESS,0.12822164948453607,1552,199
hdc49-mcc10-01-0710-3804-020-tess0035.stratus.rno.ebay.com,1386,SUCCESS,0.12531752751905165,1181,148
hdc49-mcc10-01-0710-3709-027-tess0035.stratus.rno.ebay.com,1538,SUCCESS,0.12,1350,162
hdc49-mcc10-01-0710-3908-037-tess0035.stratus.rno.ebay.com,1886,SUCCESS,0.10206561360874848,1646,168
hdc49-mcc10-01-0710-4105-014-tess0035.stratus.rno.ebay.com,1525,SUCCESS,0.1016566265060241,1328,135
hdc49-mcc10-01-0710-3306-029-tess0035.stratus.rno.ebay.com,1637,SUCCESS,0.08024691358024691,1458,117
hdc49-mcc10-01-0710-2509-037-tess0035.stratus.rno.ebay.com,48009,RUNNING,,0,0
hdc49-mcc10-01-0910-1803-039-tess0028.stratus.rno.ebay.com,51687,RUNNING,,0,0
hdc49-mcc10-01-0710-3302-003-tess0035.stratus.rno.ebay.com,54870,RUNNING,,0,0
hdc49-mcc10-01-0710-4205-026-tess0035.stratus.rno.ebay.com,47567,RUNNING,,0,0
hdc49-mcc10-01-0710-3602-013-tess0035.stratus.rno.ebay.com,52705,RUNNING,,0,0
hdc49-mcc10-01-0710-2102-037-tess0035.stratus.rno.ebay.com,47942,RUNNING,,0,0
hdc49-mcc10-01-0710-3709-039-tess0035.stratus.rno.ebay.com,47469,RUNNING,,0,0
