host,duration,status,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleWriteMetrics.writeTime
hdc49-mcc10-01-0710-2509-013-tess0035.stratus.rno.ebay.com,113957,SUCCESS,8218228,96879,22673877
hdc49-mcc10-01-0710-2102-010-tess0035.stratus.rno.ebay.com,102773,SUCCESS,7161263,88904,15054345
hdc49-mcc10-01-0710-4205-022-tess0035.stratus.rno.ebay.com,100577,SUCCESS,6192395,89388,13772503
hdc49-mcc10-01-0710-2603-023-tess0035.stratus.rno.ebay.com,97381,SUCCESS,4495418,86733,13660674
hdc49-mcc10-01-0710-3302-040-tess0035.stratus.rno.ebay.com,97271,SUCCESS,4937996,86811,13560446
hdc49-mcc10-01-0710-3306-006-tess0035.stratus.rno.ebay.com,43175,SUCCESS,5268137,31367,13506884
