host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-3306-014-tess0035.stratus.rno.ebay.com,1378,SUCCESS,0.5,252,126
hdc49-mcc10-01-0910-1803-001-tess0028.stratus.rno.ebay.com,1414,SUCCESS,0.4957983193277311,357,177
hdc49-mcc10-01-0910-1803-010-tess0028.stratus.rno.ebay.com,1406,SUCCESS,0.4418604651162791,301,133
hdc49-mcc10-01-0910-1901-006-tess0028.stratus.rno.ebay.com,1369,SUCCESS,0.36607142857142855,224,82
hdc49-mcc10-01-0710-2202-024-tess0035.stratus.rno.ebay.com,1476,SUCCESS,0.3651685393258427,534,195
hdc49-mcc10-01-0710-4105-012-tess0035.stratus.rno.ebay.com,1416,SUCCESS,0.2317596566523605,466,108
hdc49-mcc10-01-0710-2003-034-tess0035.stratus.rno.ebay.com,1459,SUCCESS,0.2289156626506024,581,133
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,1863,SUCCESS,0.14516129032258066,1240,180
hdc49-mcc10-01-0910-1901-029-tess0028.stratus.rno.ebay.com,1897,SUCCESS,0.1330150068212824,1466,195
hdc49-mcc10-01-0710-3709-027-tess0035.stratus.rno.ebay.com,2103,SUCCESS,0.08101571946795647,1654,134
hdc49-mcc10-01-0910-2703-031-tess0028.stratus.rno.ebay.com,2039,SUCCESS,0.07407407407407407,1647,122
hdc49-mcc10-01-0710-4102-016-tess0035.stratus.rno.ebay.com,1773,SUCCESS,0.07055749128919861,1148,81
hdc49-mcc10-01-0710-3804-016-tess0035.stratus.rno.ebay.com,3200,SUCCESS,0.037628682996095134,2817,106
hdc49-mcc10-01-0710-2605-010-tess0035.stratus.rno.ebay.com,71763,RUNNING,,0,0
hdc49-mcc10-01-0710-2605-028-tess0035.stratus.rno.ebay.com,73007,RUNNING,,0,0
hdc49-mcc10-01-0710-2509-010-tess0035.stratus.rno.ebay.com,58901,RUNNING,,0,0
hdc49-mcc10-01-0710-4205-001-tess0035.stratus.rno.ebay.com,60420,RUNNING,,0,0
hdc49-mcc10-01-0710-4102-023-tess0035.stratus.rno.ebay.com,54892,RUNNING,,0,0
hdc49-mcc10-01-0710-3302-030-tess0035.stratus.rno.ebay.com,56498,RUNNING,,0,0
hdc49-mcc10-01-0710-2605-010-tess0035.stratus.rno.ebay.com,60255,RUNNING,,0,0
