host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-4105-003-tess0035.stratus.rno.ebay.com,15192,RUNNING,inf
hdc49-mcc10-01-0710-3302-003-tess0035.stratus.rno.ebay.com,21881,RUNNING,inf
hdc49-mcc10-01-0710-4105-021-tess0035.stratus.rno.ebay.com,15406,RUNNING,inf
hdc49-mcc10-01-0910-1901-016-tess0028.stratus.rno.ebay.com,20646,RUNNING,inf
hdc49-mcc10-01-0710-2603-011-tess0035.stratus.rno.ebay.com,15080,RUNNING,inf
hdc49-mcc10-01-0710-1804-016-tess0035.stratus.rno.ebay.com,21855,RUNNING,inf
hdc49-mcc10-01-0710-2509-013-tess0035.stratus.rno.ebay.com,17212,RUNNING,inf
hdc49-mcc10-01-0710-3409-015-tess0035.stratus.rno.ebay.com,15266,RUNNING,inf
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,19474,RUNNING,inf
hdc49-mcc10-01-0710-3708-007-tess0035.stratus.rno.ebay.com,15680,RUNNING,inf
hdc49-mcc10-01-0710-3708-012-tess0035.stratus.rno.ebay.com,19972,RUNNING,inf
hdc49-mcc10-01-0710-2003-012-tess0035.stratus.rno.ebay.com,21854,RUNNING,inf
hdc49-mcc10-01-0710-3709-009-tess0035.stratus.rno.ebay.com,15364,RUNNING,inf
hdc49-mcc10-01-0710-2603-025-tess0035.stratus.rno.ebay.com,18241,RUNNING,inf
hdc49-mcc10-01-0710-2603-023-tess0035.stratus.rno.ebay.com,2713,RUNNING,
hdc49-mcc10-01-0710-3708-013-tess0035.stratus.rno.ebay.com,4070,RUNNING,
hdc49-mcc10-01-0710-3708-002-tess0035.stratus.rno.ebay.com,4570,RUNNING,
hdc49-mcc10-01-0710-3602-027-tess0035.stratus.rno.ebay.com,7914,RUNNING,
hdc49-mcc10-01-0710-3708-023-tess0035.stratus.rno.ebay.com,6440,RUNNING,
hdc49-mcc10-01-0910-2703-030-tess0028.stratus.rno.ebay.com,4261,RUNNING,
